[62667] ['(2-5i)', '(4-9i)', '(4+2i)', '(5+i)'] -> (((2-5i) + (4-9i)) + ((4+2i) * (5+i)))
[62689] ['(2-5i)', '(4-9i)', '(4+3i)', '(5+5i)'] -> (((2-5i) * (4+3i)) - ((4-9i) - (5+5i)))
[62720] ['(2-5i)', '(4-9i)', '(4+4i)', '(5-7i)'] -> ((4+4i) * ((5-7i) + ((2-5i) - (4-9i))))
[62758] ['(2-5i)', '(4-9i)', '(4+5i)', '(5-i)'] -> (((2-5i) * (4+5i)) - ((4-9i) + (5-i)))
[62766] ['(2-5i)', '(4-9i)', '(4+5i)', '(8-9i)'] -> (((2-5i) + (4+5i)) * ((8-9i) - (4-9i)))
[62784] ['(2-5i)', '(4-9i)', '(4+6i)', '(8-4i)'] -> (((4+6i) * ((4-9i) - (2-5i))) - (8-4i))
[62828] ['(2-5i)', '(4-9i)', '(4+9i)', '(5-5i)'] -> (((4-9i) + (4+9i)) * ((5-5i) - (2-5i)))
[62980] ['(2-5i)', '(4-9i)', '(5-4i)', '8'] -> (((7+4i) * ((9-4i) - (5-3i))) - (8+9i))
[63009] ['(2-5i)', '(4-9i)', '(5-3i)', '(8+7i)'] -> (((2-5i) * ((5-3i) - (4-9i))) - (8+7i))
[63022] ['(2-5i)', '(4-9i)', '(5-2i)', '(6+6i)'] -> ((6-8i) - ((2-4i) + (-4i * (1-5i))))
[63064] ['(2-5i)', '(4-9i)', '5', '(6-4i)'] -> (((2-5i) * ((6-4i) - (4-9i))) - 5)
[63170] ['(2-5i)', '(4-9i)', '(5+5i)', '(7-6i)'] -> (((3-4i) - (7-8i)) * ((6-4i) - (9-i)))
[63196] ['(2-5i)', '(4-9i)', '(5+7i)', '(7+9i)'] -> (((2+i) * (-4i + (9-3i))) - (1-5i))
[63309] ['(2-5i)', '(4-9i)', '(6-4i)', '6'] -> (6 * ((6-4i) + ((2-5i) - (4-9i))))
[63435] ['(2-5i)', '(4-9i)', '(6+5i)', '(7-9i)'] -> ((9+5i) - ((5+5i) * ((1-4i) - (2-6i))))
[63531] ['(2-5i)', '(4-9i)', '(7-5i)', '(7-4i)'] -> (((2-5i) * ((7-4i) - (4-9i))) - (7-5i))
[63554] ['(2-5i)', '(4-9i)', '(7-3i)', '(8-3i)'] -> (((4-9i) + (8-3i)) / ((2-5i) / (7-3i)))
[63699] ['(2-5i)', '(4-9i)', '(8-8i)', '(9-3i)'] -> (-4i * ((8-8i) - ((1-5i) * (3+i))))
[63823] ['(2-5i)', '(4-9i)', '(9+5i)', '(9+9i)'] -> (((2-5i) + (4-9i)) + ((9+5i) + (9+9i)))
[63824] ['(2-5i)', '(4-9i)', '(9+6i)', '(9+8i)'] -> (((2-5i) + (4-9i)) + ((9+6i) + (9+8i)))
[63826] ['(2-5i)', '(4-9i)', '(9+7i)', '(9+7i)'] -> (((2-5i) + (4-9i)) + ((9+7i) + (9+7i)))
[63874] ['(2-5i)', '(4-8i)', '(4-7i)', '(9+5i)'] -> (((9+5i) * ((4-7i) - (2-5i))) - (4-8i))
[63908] ['(2-5i)', '(4-8i)', '(4-5i)', '(6+6i)'] -> ((6+6i) * ((4-5i) + ((2-5i) - (4-8i))))
[63921] ['(2-5i)', '(4-8i)', '(4-5i)', '(8+8i)'] -> (((4-8i) + (8+8i)) * ((4-5i) - (2-5i)))
[63928] ['(2-5i)', '(4-8i)', '(4-4i)', '5'] -> ((4-4i) * (5 + ((2-5i) - (4-8i))))
[63949] ['(2-5i)', '(4-8i)', '(4-3i)', '(5-9i)'] -> (((5-9i) * ((4-3i) - (2-5i))) - (4-8i))
[63952] ['(2-5i)', '(4-8i)', '(4-3i)', '(5+6i)'] -> (((5+6i) * ((4-8i) - (2-5i))) - (4-3i))
[63984] ['(2-5i)', '(4-8i)', '(4-2i)', '(8-4i)'] -> (((4-8i) * ((4-2i) - (2-5i))) - (8-4i))
[63994] ['(2-5i)', '(4-8i)', '(4-i)', '(5+2i)'] -> (((4-i) * (5+2i)) - ((2-5i) - (4-8i)))
[64007] ['(2-5i)', '(4-8i)', '4', '(4+3i)'] -> (4 * ((4+3i) - ((2-5i) - (4-8i))))
[64010] ['(2-5i)', '(4-8i)', '4', '(5+3i)'] -> ((4 * ((2-5i) + (5+3i))) - (4-8i))
[64018] ['(2-5i)', '(4-8i)', '4', '(8-3i)'] -> (4 * ((8-3i) + ((2-5i) - (4-8i))))
[64023] ['(2-5i)', '(4-8i)', '4', '(9-7i)'] -> ((4 * ((9-7i) - (2-5i))) - (4-8i))
[64032] ['(2-5i)', '(4-8i)', '(4+i)', '(5+2i)'] -> (((2-5i) + (4-8i)) + ((4+i) * (5+2i)))
[64059] ['(2-5i)', '(4-8i)', '(4+2i)', '(8+8i)'] -> (((2-5i) * (8+8i)) - ((4-8i) * (4+2i)))
[64070] ['(2-5i)', '(4-8i)', '(4+3i)', '(5+6i)'] -> (((1-7i) - (2+i)) + ((2-3i) * (2+7i)))
