[370899] ['-8i', 'i', '(2-6i)', '(6-7i)'] -> ((i + (6-7i)) * ((2-6i) - -8i))
[370900] ['-8i', 'i', '(2-6i)', '(6-i)'] -> (-8i * ((i * (2-6i)) - (6-i)))
[370918] ['-8i', 'i', '(2-5i)', '(2-3i)'] -> (-8i * ((2-3i) + (i - (2-5i))))
[370919] ['-8i', 'i', '(2-5i)', '(2-i)'] -> (-8i * ((2-i) - (i + (2-5i))))
[370922] ['-8i', 'i', '(2-5i)', '(2+2i)'] -> (-8i * (((2+2i) / i) - (2-5i)))
[370930] ['-8i', 'i', '(2-5i)', '(4+4i)'] -> (((4+4i) * (i + (2-5i))) - -8i)
[370933] ['-8i', 'i', '(2-5i)', '(5-i)'] -> (-8i * ((i * (2-5i)) - (5-i)))
[370935] ['-8i', 'i', '(2-5i)', '(6-6i)'] -> ((4+4i) * ((4+6i) + ((2-6i) - (3+3i))))
[370953] ['-8i', 'i', '(2-4i)', '(2-2i)'] -> ((7-i) - ((1-i) * ((1-5i) - (9+4i))))
[370954] ['-8i', 'i', '(2-4i)', '2'] -> ((3-6i) + (-3i * ((7+9i) - (9+2i))))
[370955] ['-8i', 'i', '(2-4i)', '(2+i)'] -> (-8i * (i - ((2-4i) / (2+i))))
