[117956] ['(3-6i)', '(3+2i)', '(6-9i)', '(9-9i)'] -> 3+2i * 6-9i - (3-6i + 9-9i)
[117964] ['(3-6i)', '(3+2i)', '(6-8i)', '(7-6i)'] -> 3+2i * 6-8i - (3-6i + 7-6i)
[117969] ['(3-6i)', '(3+2i)', '(6-8i)', '(9+4i)'] -> 3-6i * 3+2i - (6-8i - 9+4i)
[117993] ['(3-6i)', '(3+2i)', '(6-7i)', '(9+5i)'] -> 8 - 4 * (1-i - 5-i)
[118010] ['(3-6i)', '(3+2i)', '(6-6i)', '(8-2i)'] -> 6-6i * (8-2i - (3-6i + 3+2i))
[118019] ['(3-6i)', '(3+2i)', '(6-6i)', '(9+6i)'] -> (6-9i + 8+3i) / (2-5i / 6-6i)
[118029] ['(3-6i)', '(3+2i)', '(6-5i)', '(7-9i)'] -> 1-7i - 3-5i * (7-4i - 8)
[118043] ['(3-6i)', '(3+2i)', '(6-5i)', '(9+7i)'] -> 3-6i * 3+2i - (6-5i - 9+7i)
[118058] ['(3-6i)', '(3+2i)', '(6-4i)', '(9+8i)'] -> 3-6i * 3+2i - (6-4i - 9+8i)
[118069] ['(3-6i)', '(3+2i)', '(6-3i)', '(7+3i)'] -> 6-3i * (7+3i - 3+2i) - 3-6i
[118079] ['(3-6i)', '(3+2i)', '(6-3i)', '(9+9i)'] -> 3-6i * 3+2i - (6-3i - 9+9i)
[118098] ['(3-6i)', '(3+2i)', '(6-i)', '(7-3i)'] -> 3-6i - 6-i + 3+2i * 7-3i
[118142] ['(3-6i)', '(3+2i)', '(6+i)', '(8+8i)'] -> 3-6i * 8+8i / (6+i - 3+2i)
[118152] ['(3-6i)', '(3+2i)', '(6+2i)', '(7-6i)'] -> 3+2i * 7-6i - (3-6i + 6+2i)
[118160] ['(3-6i)', '(3+2i)', '(6+2i)', '(9-2i)'] -> 9-2i * (6+2i - 3+2i) - 3-6i
