[2900] ['1/8', '3/8', '6', '7'] -> ((7 - (3/8 / 1/8)) * 6)
[2901] ['1/8', '3/8', '7', '8'] -> (((7 / 1/8) + 8) * 3/8)
[2930] ['1/8', '2/5', '2', '2'] -> (((2 / 2/5) - 2) / 1/8)
[2932] ['1/8', '2/5', '2', '8'] -> ((8 - (2 / 2/5)) / 1/8)
[2934] ['1/8', '2/5', '4', '8'] -> (((8 / 1/8) - 4) * 2/5)
[2935] ['1/8', '2/5', '5', '5'] -> ((5 - (2/5 * 5)) / 1/8)
[2936] ['1/8', '2/5', '5', '9'] -> (9 / (2/5 - (1/8 / 5)))
[2984] ['1/8', '3/7', '6', '7'] -> ((6 - (3/7 * 7)) / 1/8)
[2985] ['1/8', '3/7', '6', '8'] -> (((6 / 1/8) + 8) * 3/7)
[2986] ['1/8', '3/7', '8', '8'] -> (((8 / 1/8) - 8) * 3/7)
[3041] ['1/8', '1/2', '1', '1'] -> (((1 / 1/2) + 1) / 1/8)
[3042] ['1/8', '1/2', '1', '3'] -> (1 / ((1/2 / 3) - 1/8))
[3072] ['1/8', '4/9', '2', '7'] -> (((7 / 1/8) - 2) * 4/9)
