[341] ['1', '11', '31', '54'] -> 31 + ((1 + 54) / 11) base 6
[342] ['1', '11', '32', '35'] -> (1 + 11) * (35 - 32) base 6
[343] ['1', '11', '32', '52'] -> 32 + (52 / (1 + 11)) base 6
[344] ['1', '11', '33', '52'] -> 52 / (1 + (11 / 33)) base 6
[345] ['1', '11', '34', '41'] -> (1 + 11) * (41 - 34) base 6
[346] ['1', '11', '35', '42'] -> (1 + 11) * (42 - 35) base 6
[347] ['1', '11', '41', '44'] -> (1 + 11) * (44 - 41) base 6
[348] ['1', '11', '42', '45'] -> (1 + 11) * (45 - 42) base 6
[349] ['1', '11', '43', '50'] -> (1 + 11) * (50 - 43) base 6
[350] ['1', '11', '44', '50'] -> 50 / (1 + (11 / 44)) base 6
[351] ['1', '11', '44', '51'] -> (1 + 11) * (51 - 44) base 6
[352] ['1', '11', '45', '52'] -> (1 + 11) * (52 - 45) base 6
[353] ['1', '11', '45', '54'] -> 45 - ((1 + 54) / 11) base 6
[354] ['1', '11', '50', '53'] -> (1 + 11) * (53 - 50) base 6
[355] ['1', '11', '51', '51'] -> 51 * (1 - (11 / 51)) base 6
[356] ['1', '11', '51', '54'] -> (1 + 11) * (54 - 51) base 6
[357] ['1', '12', '12', '24'] -> 12 * (1 + (24 / 12)) base 6
[358] ['1', '12', '13', '30'] -> 12 * (1 + (30 / 13)) base 6
[359] ['1', '12', '14', '15'] -> (1 + 15) * (14 - 12) base 6
[360] ['1', '12', '14', '23'] -> 12 / (1 - (14 / 23)) base 6
[361] ['1', '12', '20', '20'] -> 20 / ((20 / 12) - 1) base 6
